0;Diplomatisches Corps
GT;Gütersloh in Rheda-Wiedenbrück;NrWe
GTH;Gotha;Thür
GÜ;Güstrow;MeVo
GUB;Guben;Brandenburg;a
GVM;Grevesmühlen;MeVo;a
GW;Greifswald/Landkreis;MeVo;a
GZ;Günzburg;Bayern
H;Hannover;NiSa
HA;Hagen/Westfalen;NrWe
HAL;Halle/Saale;SaAn
HAM;Hamm/Westfalen;NrWe
HAS;Haßberge in Haßfurt;Bayern
HB;Hansestadt Bremen und Bremerhaven;Bre
HBN;Hildburghausen;Thür
HBS;Halberstadt;SaAn
HC;Hainichen;Sachs;a
HD;Rhein-Neckar-Kreis und Heidelberg;BaWü
HDH;Heidenheim/Brenz;BaWü
HDL;Haldensleben;SaAn;a
HE;Helmstedt;NiSa
HEF;Bad Hersfeld-Rotenburg;Hess
HEI;Dithmarschen in Heide/Holstein;SlHo
HEL;Hessen Landesregierung und Landtag
HER;Herne;NrWe
HET;Hettstedt;SaAn;a
HF;Herford in Kirchlengern;NrWe
HG;Hochtaunuskreis in Bad Homburg v.d.H.;Hess
HGN;Hagenow;MeVo;a
HGW;Hansestadt Greifswald;MeVo
HH;Hansestadt Hamburg;Hbg
HHM;Hohenmölsen;SaAn;a
HI;Hildesheim;NiSa
HIG;Heiligenstadt;Thür;a
HL;Hansestadt Lübeck;SlHo
HM;Hameln-Pyrmont;NiSa
HN;Heilbronn/Neckar;BaWü
HO;Hof/Saale;Bayern
HOL;Holzminden;NiSa
HOM;Saar-Pfalz-Kreis in Homburg/Saar;Saar
HOT;Hohenstein-Ernstthal;Sachs;a
HP;Bergstraße in Heppenheim;Hess
HR;Schwalm-Eder-Kreis in Homberg;Hess
HRO;Hansestadt Rostock;MeVo
HS;Heinsberg;NrWe
HSK;Hochsauerlandkreis in Meschede;NrWe
HST;Hansestadt Stralsund;MeVo
HU;Hanau Main-Kinzig-Kreis;Hess
HV;Havelberg;SaAn;a
HVL;Havelland;Brandenburg
HWI;Hansestadt Wismar;MeVo
HX;Höxter;NrWe
HY;Hoyerswerda;Sachs
HZ;Herzberg;Brandenburg;a
IGB;St. Ingbert;Saar
IK;Ilm-Kreis;Thür
IL;Ilmenau;Thür;a
IN;Ingolstadt/Donau;Bayern
IZ;Itzehoe;SlHo
J;Jena;Thür
JB;Jüterbog;Brandenburg;a
JE;Jessen;SaAn;a
JL;Jerichower Land;SaAn
K;Köln;NrWe
KA;Karlsruhe;BaWü
KB;Waldeck-Frankenberg in Korbach;Hess
KC;Kronach;Bayern
KE;Kempten/Allgäu;Bayern
KEH;Kelheim;Bayern
KF;Kaufbeuren;Bayern
KG;Bad Kissingen;Bayern
KH;Bad Kreuznach;RhPf
KI;Kiel;SlHo
KIB;Donnersberg-Kreis in Kirchheimbolanden;RhPf
KL;Kaiserslautern;RhPf
KLE;Kleve;NrWe
KLZ;Klötze;SaAn;a
KM;Kamenz;Sachs
KN;Konstanz;BaWü
KO;Koblenz;RhPf
KÖT;Köthen;SaAn
KR;Krefeld;NrWe
KS;Kassel;Hess
KT;Kitzingen;Bayern
KU;Kulmbach;Bayern
KÜN;Hohenlohe-Kreis in Künzelsau;BaWü
KUS;Kusel;RhPf
KW;Königs-Wusterhausen;Brandenburg;a
KY;Kyritz;Brandenburg;a
KYF;Kyffhäuserkreis;Thür
L;Leipzig;Sachs
LA;Landshut;Bayern
LAU;Nürnberger Land in Lauf/Pegnitz;Bayern
LB;Ludwigsburg;BaWü
LBS;Lobenstein;Thür;a
LBZ;Lübz;MeVo;a
LC;Luckau;Sachs;a
LD;Landau/Pfalz;RhPf
LDK;Lahn-Dill-Kreis in Wetzlar;Hess
LDS;Dahme-Spreewald;Brandenburg
LER;Leer/Ostfriesland;NiSa
LEV;Leverkusen;NrWe
LG;Lüneburg;NiSa
LI;Lindau/Bodensee;Bayern
LIB;Bad Liebenwerda;Brandenburg;a
LIF;Lichtenfels;Bayern
LIP;Lippe in Detmold;NrWe
LL;Landsberg/Lech;Bayern
LM;Limburg-Weilburg/Lahn;Hess
LN;Lübben;Brandenburg;a
LÖ;Lörrach;BaWü
LÖB;Löbau;Sachs;a
LOS;Oder-Spree-Kreis Beeskow;Brandenburg
LSA;Sachsen-Anhalt Landesregierung und Landtag
LSN;Sachsen Landesregierung und Landtag
LSZ;Bad Langensalza;Thür;a
LU;Ludwigshafen/Rhein;RhPf
LUK;Luckenwalde;Brandenburg;a
LWL;Ludwigslust;MeVo
M;München;Bayern
MA;Mannheim;BaWü
MAB;Marienberg;Sachs;a
MB;Miesbach;Bayern
MC;Malchin;MeVo;a
MD;Magdeburg;SaAn
ME;Mettmann;NrWe
MEI;Meißen;Sachs
MEK;Mittlerer Erzgebirgskreis;Sachs
MER;Merseburg;SaAn;a
MG;Mönchengladbach;NrWe
MGN;Meiningen;Thür;a
MH;Mülheim/Ruhr;NrWe
MHL;Mühlhausen;Thür;a
MI;Minden-Lübbecke/Westfalen;NrWe
MIL;Miltenberg;Bayern
MK;Märkischer Kreis in Lüdenscheid;NrWe
ML;Mansfelder Land;SaAn
MM;Memmingen;Bayern
MN;Unterallgäu in Mindelheim;Bayern
MOL;Märkisch-Oderland;Brandenburg
MOS;Neckar-Odenwald-Kreis in Mosbach;BaWü
MR;Marburg-Biedenkopf/Lahn;Hess
MS;Münster/Westfalen;NrWe
MSP;Main-Spessart-Kreis in Karlstadt;Bayern
MST;Mecklenburg-Strelitz;MeVo
MTK;Main-Taunus-Kreis in Hofheim;Hess
MÜ;Mühldorf am Inn;Bayern
MÜR;Müritz;MeVo
MVL;Mecklenburg-Vorpommern Landesregierung und Landtag
MW;Mittweida;Sachs
MYK;Mayen-Koblenz;RhPf
MZ;Mainz-Bingen und Mainz;RhPf
MZG;Merzig-Wadern;Saar
N;Nürnberg;Bayern
NAU;Nauen;Brandenburg;a
NB;NeuBrandenburg;MeVo
ND;Neuburg-Schrobenhausen/Donau;Bayern
NDH;Nordhausen;Thür
NE;Neuss;NrWe
NEA;Neustadt-Bad Windsheim/Aisch;Bayern
NEB;Nebra/Unstrut;SaAn;a
NES;Rhön-Grabfeld in Bad Neustadt/Saale;Bayern
NEW;Neustadt/Waldnaab;Bayern
NF;Nordfriesland in Husum;SlHo
NH;Neuhaus/Rennsteig;Thür;a
NI;Nienburg/Weser;NiSa
NK;Neunkirchen/Saar;Saar
NL;Niedersachsen Landesregierung und Landtag
NM;Neumarkt/Oberpfalz;Bayern
NMB;Naumburg/Saale;SaAn;a
NMS;Neumünster;SlHo
NOH;Grafschaft Bentheim in Nordhorn;NiSa
NOL;Niederschlesischer Oberlausitzkreis;Sachs
NOM;Northeim;NiSa
NP;Neuruppin;Brandenburg;a
NR;Neuwied/Rhein;RhPf
NRW;Nordrhein-Westfalen Landesregierung und Landtag
NU;Neu-Ulm;Bayern
NVP;Nordvorpommern;MeVo
NW;Neustadt/Weinstraße;RhPf
NWM;Nordwestmecklenburg;MeVo
NY;Niesky;Sachs;a
NZ;Neustrelitz;MeVo;a
OA;Oberallgäu in Sonthofen;Bayern
OAL;Ostallgäu in Marktoberdorf;Bayern
OB;Oberhausen/Rheinland;NrWe
OBG;Osterburg;SaAn;a
OC;Oschersleben;SaAn;a
OD;Stormarn in Bad Oldesloe;SlHo
OE;Olpe;NrWe
OF;Offenbach/Main;Hess
OG;Ortenaukreis in Offenburg;BaWü
OH;Ostholstein in Eutin;SlHo
OHA;Osterode/Harz;NiSa
OHV;Oranienburg Oberhavel;Brandenburg
OHZ;Osterholz-Scharmbeck;NiSa
OK;Ohre-Kreis;SaAn
OL;Oldenburg;NiSa
OPR;Ostprignitz-Ruppin;Brandenburg
OR;Oranienburg;Brandenburg;a
OS;Osnabrück;NiSa
OSL;Senftenberg;Oberspreewald-Lausitz;Brandenburg
OVL;Obervogtland in Klingenthal und Ölsnitz;Sachs;a
OVP;Ostvorpommern;MeVo
OZ;Oschatz;Sachs;a
P;Potsdam;Brandenburg
PA;Passau;Bayern
PAF;Pfaffenhofen/Ilm;Bayern
PAN;Rottal-Inn in Pfarrkirchen;Bayern
PB;Paderborn;NrWe
PCH;Parchim;MeVo
PE;Peine;NiSa
PER;Perleberg;Brandenburg;a
PF;Enzkreis und Pforzheim;BaWü
PI;Pinneberg;SlHo
PIR;Pirna;Sächsische Schweiz;Sachs
PK;Pritzwalk;Brandenburg;a
PL;Plauen;Sachs
PLÖ;Plön/Holstein;SlHo
PM;Belzig;Potsdam-Mittelmark;Brandenburg
PN;Pössneck;Thür;a
PR;Prignitz in Perleberg;Brandenburg
PS;Pirmasens;RhPf
PW;Pasewalk;MeVo;a
PZ;Prenzlau;Brandenburg;a
QFT;Querfurt;SaAn;a
QLB;Quedlinburg;SaAn
R;Regensburg;Bayern
RA;Rastatt;BaWü
RC;Reichenbach/Vogtland;Sachs;a
RD;Rendsburg-Eckernförde;SlHo
RDG;Ribnitz-Damgarten;MeVo;a
RE;Recklinghausen in Marl;NrWe
REG;Regen;Bayernr. Wald;Bayern
RG;Riesa-Großenhain;Sachs
RH;Roth/Rednitz;Bayern
RIE;Riesa;Sachs;a
RL;Rochlitz;Sachs;a
RM;Röbel/Müritz;MeVo;a
RN;Rathenow;Brandenburg;a
RO;Rosenheim;Bayern
ROS;Rostock/Landkreis;MeVo;a
